Municipio,Distrito,CodigoPostal,Latitud,Longitud
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35001,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35002,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35003,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35004,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35005,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35006,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35007,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35008,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35009,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35010,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35011,28.0944,-15.4591
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35012,28.0944,-15.4591
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35013,28.0944,-15.4591
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35014,28.0997,-15.4134
Las Palmas de Gran Canaria,La Matula,35015,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35015,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35016,28.0944,-15.4591
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35017,28.0901,-15.5054
Las Palmas de Gran Canaria,Los Hoyos (Las Palmas De G.C.),35017,28.0997,-15.4134
Las Palmas de Gran Canaria,Monte Luz,35017,28.0901,-15.5054
Las Palmas de Gran Canaria,Montañeta, La (Las Palmas),35017,28.0901,-15.5054
Las Palmas de Gran Canaria,Llanos De Maria Ribera,35017,28.0901,-15.5054
Las Palmas de Gran Canaria,Lomo Blanco (Las Palmas),35017,28.0901,-15.5054
Las Palmas de Gran Canaria,El Sabinal,35017,28.0901,-15.5054
Las Palmas de Gran Canaria,La Calzada,35017,28.0585,-15.4702
Las Palmas de Gran Canaria,Siete Puertas,35017,28.0601,-15.4799
Las Palmas de Gran Canaria,Pico Viento,35017,28.0751,-15.4457
Las Palmas de Gran Canaria,Dragonal Alto,35017,28.0636,-15.4659
Las Palmas de Gran Canaria,Dragonal Bajo,35017,28.0693,-15.4626
Las Palmas de Gran Canaria,Tafira Baja,35017,28.0686,-15.4523
Las Palmas de Gran Canaria,Tamaraceite,35018,28.0997,-15.4735
Las Palmas de Gran Canaria,La Suerte,35018,28.0953,-15.4824
Las Palmas de Gran Canaria,Almatriche Alto,35018,28.0818,-15.4628
Las Palmas de Gran Canaria,Las Perreras,35018,28.1015,-15.462
Las Palmas de Gran Canaria,La Galera,35018,28.1011,-15.4824
Las Palmas de Gran Canaria,El Pintor,35018,28.074,-15.4907
Las Palmas de Gran Canaria,La Milagrosa,35018,28.06,-15.5043
Las Palmas de Gran Canaria,San Lorenzo,35018,28.0752,-15.4761
Las Palmas de Gran Canaria,Almatriche Bajo,35018,28.0911,-15.46
Las Palmas de Gran Canaria,Piletas,35018,28.0928,-15.4865
Las Palmas de Gran Canaria,Cortijo, El (Tamaraceite),35018,28.0989,-15.4722
Las Palmas de Gran Canaria,Frailes, Lomo De Los,35018,28.0936,-15.4586
Las Palmas de Gran Canaria,Las Mesas Altas,35018,28.0936,-15.4586
Las Palmas de Gran Canaria,El Sardo,35018,28.0936,-15.4586
Las Palmas de Gran Canaria,Las Mesas Bajas,35018,28.0936,-15.4586
Las Palmas de Gran Canaria,Hoya Andrea,35018,28.0913,-15.4617
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35018,28.0936,-15.4586
Las Palmas de Gran Canaria,Majadillas, Las (Las Palmas De G.C.),35018,28.0997,-15.4134
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35019,28.0944,-15.4591
,Las Palmas De Gran Canaria,35070,28.0997,-15.4134
,Las Palmas De Gran Canaria,35071,28.0997,-15.4134
,Las Palmas De Gran Canaria,35080,28.0997,-15.4134
San Bartolomé de Tirajana,Las Meloneras,35100,27.7434,-15.6072
San Bartolomé de Tirajana,Maspalomas,35100,27.7373,-15.5957
San Bartolomé de Tirajana,Campo Internacional,35100,27.7544,-15.5914
San Bartolomé de Tirajana,San Fernando (Maspalomas),35100,27.7596,-15.5969
San Bartolomé de Tirajana,Costa Meloneras (Urbanizacion),35100,27.7576,-15.5841
San Bartolomé de Tirajana,Playa Del Aguila,35100,27.7576,-15.5841
San Bartolomé de Tirajana,Sonneland (Urbanizacion),35100,27.7576,-15.5841
San Bartolomé de Tirajana,Bahia Feliz (Urbanizacion),35100,27.7576,-15.5841
San Bartolomé de Tirajana,Cañon Del Aguila,35100,27.7576,-15.5841
San Bartolomé de Tirajana,Playa Del Ingles,35100,27.7567,-15.5787
San Bartolomé de Tirajana,San Agustin,35100,27.771,-15.5347
San Bartolomé de Tirajana,Pasito Blanco,35106,27.7479,-15.6241
San Bartolomé de Tirajana,Pedrazo Alto,35106,27.7477,-15.6261
San Bartolomé de Tirajana,El Salobre,35106,27.7849,-15.6333
San Bartolomé de Tirajana,Montaña De La Arena,35106,27.7607,-15.6165
San Bartolomé de Tirajana,El Llanillo,35106,27.7607,-15.6165
San Bartolomé de Tirajana,Lomo De Pedro Afonso,35106,27.7607,-15.6165
San Bartolomé de Tirajana,Pedrazo Bajo,35106,27.7607,-15.6165
San Bartolomé de Tirajana,Calderin,35106,27.7607,-15.6165
San Bartolomé de Tirajana,Montaña Blanca (Maspalomas),35106,27.7596,-15.5969
San Bartolomé de Tirajana,Juan Grande,35107,27.8076,-15.4723
San Bartolomé de Tirajana,Castillo Del Romeral,35107,27.7996,-15.4608
San Bartolomé de Tirajana,Tarajalillo (Juan Grande),35107,27.8085,-15.472
San Bartolomé de Tirajana,El Morrete,35107,27.8055,-15.4683
San Bartolomé de Tirajana,Rodeos, Los (San Bartolome De Tirajana),35107,27.8055,-15.4683
San Bartolomé de Tirajana,Berriel,35107,27.8055,-15.4683
San Bartolomé de Tirajana,Florida, La (San Bartolome De Tirajana),35107,27.8055,-15.4683
San Bartolomé de Tirajana,Agadir,35107,27.8055,-15.4683
San Bartolomé de Tirajana,Las Salinas Del Matorral,35107,27.8055,-15.4683
San Bartolomé de Tirajana,Lomo Del Moral,35107,27.8055,-15.4683
San Bartolomé de Tirajana,Matorral, El (San Bartolome De Tirajana),35107,27.8055,-15.4683
San Bartolomé de Tirajana,Cercados, Los (San Bartolome Tirajana),35108,27.8872,-15.5645
San Bartolomé de Tirajana,Fataga,35108,27.8869,-15.5643
San Bartolomé de Tirajana,Los Hortigones,35108,27.8872,-15.5645
San Bartolomé de Tirajana,Arteara,35108,27.8872,-15.5645
San Bartolomé de Tirajana,Los Caserones De Fataga,35108,27.8872,-15.5645
San Bartolomé de Tirajana,La Mimbre,35109,27.7596,-15.5969
San Bartolomé de Tirajana,Media Fanega,35109,27.7596,-15.5969
San Bartolomé de Tirajana,Palmitos Park,35109,27.7596,-15.5969
San Bartolomé de Tirajana,Las Tederas,35109,27.7596,-15.5969
San Bartolomé de Tirajana,Montaña La Data,35109,27.7596,-15.5969
San Bartolomé de Tirajana,Lomo De Perera,35109,27.7596,-15.5969
San Bartolomé de Tirajana,Monte Leon (Urbanizacion),35109,27.7596,-15.5969
San Bartolomé de Tirajana,Palmitos, Los (Maspalomas),35109,27.7596,-15.5969
San Bartolomé de Tirajana,Tablero, El (Maspalomas),35109,27.7596,-15.5969
San Bartolomé de Tirajana,Ayagaures,35109,27.8451,-15.6079
San Bartolomé de Tirajana,Lomo Gordo,35109,27.7802,-15.6018
Santa Lucía de Tirajana,La Vereda,35110,27.8548,-15.4329
Santa Lucía de Tirajana,Casa Pastores,35110,27.8517,-15.4521
Santa Lucía de Tirajana,Vecindario,35110,27.8496,-15.4405
Santa Lucía de Tirajana,San Rafael,35110,27.8455,-15.4424
Santa Lucía de Tirajana,Orilla Baja,35110,27.8461,-15.4649
Santa Lucía de Tirajana,El Doctoral,35110,27.8347,-15.4501
Santa Lucía de Tirajana,La Blanca,35110,27.8525,-15.4614
Santa Lucía de Tirajana,Llanos, Los (Santa Lucia De Tirajana),35110,27.8464,-15.4445
Santa Lucía de Tirajana,Barranquillo De Sardina,35110,27.8464,-15.4445
Santa Lucía de Tirajana,La Cerruda,35110,27.8463,-15.4455
Santa Lucía de Tirajana,Canario, El (Vecindario),35110,27.8464,-15.4445
Santa Lucía de Tirajana,La Paredilla,35110,27.8464,-15.4445
Santa Lucía de Tirajana,San Pedro Martir,35110,27.8464,-15.4445
Santa Lucía de Tirajana,Hoya Pavon,35110,27.8464,-15.4445
Santa Lucía de Tirajana,Cruce De Sardina Del Sur,35110,27.8464,-15.4445
Santa Lucía de Tirajana,Camino La Madera,35110,27.8464,-15.4445
Santa Lucía de Tirajana,La Union,35110,27.8464,-15.4445
Santa Lucía de Tirajana,Balos,35110,27.8464,-15.4445
Santa Lucía de Tirajana,Sardina Del Sur (Vecindario),35110,27.8464,-15.4445
Agüimes,Cruce De Arinaga,35118,27.8766,-15.428
Agüimes,Arinaga,35118,27.8766,-15.428
Agüimes,Goleta, La (Aguimes),35118,27.9054,-15.4461
Agüimes,Rosas, Las (Agüimes),35118,27.9054,-15.4461
Agüimes,Poligono Industrial De Arinaga,35118,27.8939,-15.4388
Agüimes,Montaña De San Francisco,35118,27.8939,-15.4388
Agüimes,Pie De La Cuesta (Agüimes),35118,27.9054,-15.4461
San Bartolomé de Tirajana,Pozo Izquierdo,35119,27.8277,-15.4242
San Bartolomé de Tirajana,Aldea Blanca,35119,27.8417,-15.475
San Bartolomé de Tirajana,Casa Santa,35119,27.8335,-15.4489
San Bartolomé de Tirajana,Barranquillo (Santa Lucia De Tirajana),35119,27.8335,-15.4489
Mogán,Cornisa, La (Urbanizacion),35120,27.7565,-15.6808
Mogán,Cornisa Del Suroeste,35120,27.7565,-15.6808
Mogán,Arguineguin,35120,27.7565,-15.6808
Mogán,Charca, La (Arguineguin),35120,27.7565,-15.6808
San Bartolomé de Tirajana,El Pajar,35128,27.7548,-15.6716
San Bartolomé de Tirajana,El Horno,35128,27.8463,-15.6629
San Bartolomé de Tirajana,Soria,35128,27.9064,-15.6697
San Bartolomé de Tirajana,El Vento,35128,27.9066,-15.6694
San Bartolomé de Tirajana,Lomo Galeon,35128,27.9066,-15.6694
San Bartolomé de Tirajana,Huesa Bermeja,35128,27.9066,-15.6694
San Bartolomé de Tirajana,Barranquillo Andres,35128,27.9066,-15.6694
San Bartolomé de Tirajana,Crucitas, Las (San Bartolome De Tirajana),35128,27.9066,-15.6694
San Bartolomé de Tirajana,Santa Agueda,35128,27.9066,-15.6694
San Bartolomé de Tirajana,Cercados De Espino,35128,27.9066,-15.6694
San Bartolomé de Tirajana,El Caidero,35128,27.9066,-15.6694
San Bartolomé de Tirajana,Las Filipinas,35128,27.9066,-15.6694
San Bartolomé de Tirajana,Chira,35128,27.9066,-15.6694
San Bartolomé de Tirajana,Peñones, Los (Mogan),35128,27.9066,-15.6694
Mogán,Barranco De La Verga,35129,27.7699,-15.6896
Mogán,Caideros, Los (Urbanizacion),35129,27.7699,-15.6896
Mogán,Balito,35129,27.7757,-15.6962
Mogán,Barranco Balito,35129,27.7699,-15.6896
Mogán,Aquamarina,35129,27.7726,-15.6913
Mogán,Los Canarios,35129,27.7687,-15.6841
Mogán,Patalavaca,35129,27.7706,-15.6882
Mogán,El Motor Grande,35130,27.799,-15.6969
Mogán,Chaparral, El (Puerto Rico),35130,27.7894,-15.7104
Mogán,Cortadores De Puerto Rico,35130,27.7894,-15.7104
Mogán,Playa De Amadores,35130,27.7894,-15.7104
Mogán,Puerto Rico,35130,27.7883,-15.7119
Mogán,Platero, El (Urbanizacion),35138,27.8162,-15.7594
Mogán,Mogan, De (Playa),35138,27.8179,-15.7654
Mogán,Taurito,35138,27.8163,-15.7511
Mogán,Playa De Tauro,35138,27.8162,-15.7594
Mogán,Lomo Quiebre,35139,27.8028,-15.7349
Mogán,Mogan (Capital Municipal),35140,27.8099,-15.5637
Mogán,Los Navarros,35140,27.8657,-15.7385
Mogán,La Humbridilla,35149,27.8588,-15.7431
Mogán,Playa De Veneguera,35149,27.8099,-15.5637
Mogán,Tabaibales,35149,27.8099,-15.5637
Mogán,Cercado, El (Mogan),35149,27.8099,-15.5637
Mogán,Casas De Veneguera,35149,27.8099,-15.5637
Mogán,La Rosilla,35149,27.8099,-15.5637
Mogán,Llanos, Los (Mogan),35149,27.8099,-15.5637
Mogán,Molino De Viento (Mogan),35149,27.8099,-15.5637
Mogán,Los Almacigos,35149,27.8099,-15.5637
Mogán,La Umbridilla,35149,27.8099,-15.5637
Mogán,Horno De Teja,35149,27.8099,-15.5637
Mogán,Casas Blancas (Mogan),35149,27.8099,-15.5637
Mogán,Pasitos, Los (Mogan),35149,27.8099,-15.5637
Mogán,Hornillo, El (Mogan),35149,27.8099,-15.5637
Mogán,Las Burrillas,35149,27.8099,-15.5637
Mogán,Casillas, Las (Mogan),35149,27.8099,-15.5637
Mogán,Pie De La Cuesta (Mogan),35149,27.8099,-15.5637
Telde,Telde,35200,27.9924,-15.4192
Telde,San Francisco,35200,28.0024,-15.4165
Telde,San Juan (Telde),35200,27.9924,-15.4192
Telde,San Gregorio (Telde),35200,27.9924,-15.4192
Telde,Telde,35210,27.9924,-15.4192
Telde,Tara,35210,28.0017,-15.4253
Telde,Lomo De La Herradura,35210,27.9924,-15.4192
Telde,San Jose De Las Longueras,35210,27.9924,-15.4192
Telde,Balcon De Telde,35210,27.9924,-15.4192
Telde,Montaña De Las Palmas,35210,27.9924,-15.4192
Telde,Valle De Los Nueve,35211,27.9924,-15.4192
Telde,Lomo-Magullo,35211,27.9924,-15.4192
Telde,La Colomba,35211,27.9924,-15.4192
Telde,Lomo-Bristol,35211,27.9924,-15.4192
Telde,Cazadores,35211,27.9546,-15.5131
Telde,Tecen (Telde),35211,27.9924,-15.4192
Telde,Arenales, Los (Telde),35211,27.9924,-15.4192
Telde,Telde,35211,27.9924,-15.4192
Telde,Telde,35212,27.9883,-15.4506
Telde,San Borondon,35212,27.9883,-15.4506
Telde,La Garita,35212,27.9883,-15.4506
Telde,La Estrella,35212,28.0143,-15.3844
Telde,Marpequeña,35212,28.002,-15.3886
Telde,San Antonio,35213,28.0086,-15.404
Telde,Las Remudas,35213,28.0091,-15.3941
Telde,La Pardilla,35213,28.0158,-15.3906
Telde,Telde,35213,27.9924,-15.4192
Telde,San Isidro (Telde),35213,27.9924,-15.4192
Telde,Majadilla, La (Telde),35213,27.9924,-15.4192
Telde,La Primavera,35213,27.9924,-15.4192
Telde,Playa De Salinetas,35214,27.9891,-15.3979
Telde,Salinetas,35214,27.9891,-15.3979
Telde,Playa De Melenara,35214,27.9891,-15.3979
Telde,Playa De Las Clavellinas,35214,27.9891,-15.3979
Telde,Playa Del Hombre,35214,27.9891,-15.3979
Telde,Telde,35214,27.9924,-15.4192
Telde,Casas Nuevas,35214,27.9922,-15.3906
Telde,Taliarte,35214,27.9893,-15.3724
Telde,Melenara,35214,27.9857,-15.3767
Telde,Jerez (Telde),35215,27.9924,-15.4192
Telde,Lomo Cementerio,35215,27.9924,-15.4192
Telde,Cuatro Puertas,35215,27.9591,-15.4219
Telde,Frailes, Lomo Los (Telde),35215,27.9924,-15.4192
Telde,Telde,35215,27.9924,-15.4192
Telde,El Calero,35215,27.9924,-15.4192
Telde,Lomo Sala,35215,27.9924,-15.4192
Telde,Las Medianias,35215,27.9924,-15.4192
Telde,El Caracol,35215,27.9894,-15.4108
Telde,Jerez,35215,27.9798,-15.4152
Telde,Las Huesas,35215,27.9851,-15.3948
Telde,La Viña,35215,27.991,-15.3981
Telde,Piletillas,35215,27.9543,-15.4248
Valsequillo de Gran Canaria,La Suertecilla,35216,27.9838,-15.5006
Valsequillo de Gran Canaria,Tenteniguada,35216,27.9852,-15.5234
Valsequillo de Gran Canaria,El Almendrillo,35216,27.9841,-15.5283
Valsequillo de Gran Canaria,Casillas, Las (Valsequillo),35216,27.9821,-15.5249
Valsequillo de Gran Canaria,El Montañon,35216,27.9821,-15.5249
Valsequillo de Gran Canaria,Colmenar De Arriba,35216,27.9821,-15.5249
Valsequillo de Gran Canaria,El Troncon,35216,27.9821,-15.5249
Valsequillo de Gran Canaria,La Era De La Mota,35216,27.9821,-15.5249
Valsequillo de Gran Canaria,Pedregal, El (Valsequillo) (Urbanizacion),35216,27.9821,-15.5249
Valsequillo de Gran Canaria,Colmenar De Abajo,35216,27.9821,-15.5249
Valsequillo de Gran Canaria,El Helechal,35216,27.9821,-15.5249
Valsequillo de Gran Canaria,Vegas, Las (Valsequillo),35216,27.9821,-15.5249
Valsequillo de Gran Canaria,Casas Blancas (Valsequillo),35216,27.9821,-15.5249
Valsequillo de Gran Canaria,Rincon, El (Tenteniguada),35216,27.9821,-15.5249
Valsequillo de Gran Canaria,Cuevas Negras,35217,28.0058,-15.4735
Valsequillo de Gran Canaria,Majuelo,35217,27.9932,-15.5022
Valsequillo de Gran Canaria,Los Llanetes,35217,27.991,-15.4789
Valsequillo de Gran Canaria,Luis Verde,35217,27.9922,-15.4845
Valsequillo de Gran Canaria,Los Juagarzos,35217,27.9973,-15.5009
Valsequillo de Gran Canaria,La Cantera,35217,27.9985,-15.4823
Valsequillo de Gran Canaria,La Barrera,35217,27.9957,-15.4714
Valsequillo de Gran Canaria,Las Chozas,35217,28.0013,-15.4843
Valsequillo de Gran Canaria,Casas, Las (Valsequillo),35217,27.9856,-15.4973
Valsequillo de Gran Canaria,Pinos, Los (Valsequillo),35217,27.9856,-15.4973
Valsequillo de Gran Canaria,San Roque (Valsequillo),35217,27.9856,-15.4973
Valsequillo de Gran Canaria,Roque, El (Valsequillo),35217,27.9856,-15.4973
Valsequillo de Gran Canaria,Almendros, Los (Urbanizacion),35217,27.9893,-15.5223
Valsequillo de Gran Canaria,Tecen De Valsequillo,35217,27.9893,-15.5223
Valsequillo de Gran Canaria,Valsequillo (Capital Municipal),35217,27.9893,-15.5223
Valsequillo de Gran Canaria,Lomitos De Correa,35217,27.9893,-15.5223
Valsequillo de Gran Canaria,Valle De San Roque,35217,27.9893,-15.5223
Valsequillo de Gran Canaria,Llanos Del Conde,35217,27.9893,-15.5223
Valsequillo de Gran Canaria,Mirabala,35217,27.9954,-15.493
Telde,Telde,35218,27.9924,-15.4192
Telde,Caserones Bajos,35218,28.0069,-15.4212
Telde,La Higuera Canaria,35218,28.0103,-15.4333
Telde,Cendro,35218,28.0069,-15.4182
Telde,Hoya Aguedita,35218,28.0177,-15.4179
Telde,Solana, La (Telde),35218,27.9924,-15.4192
Telde,Palmital, El (Telde),35218,27.9924,-15.4192
Telde,Garcia Ruiz,35218,27.9924,-15.4192
Telde,Caserones Altos,35218,27.9924,-15.4192
Telde,Goteras, Las (Telde),35218,27.9924,-15.4192
Telde,Valle De Casares,35218,27.9924,-15.4192
Telde,Poligono Salinetas,35219,27.9711,-15.4067
Telde,Playa De Tufia,35219,27.9711,-15.4067
Telde,Ojos De Garza,35219,27.9711,-15.4067
Telde,Playa Ojos De Garza,35219,27.9711,-15.4067
Telde,Poligo Industrial El Goro,35219,27.9711,-15.4067
Telde,Telde,35219,27.9924,-15.4192
Telde,El Goro,35219,27.9591,-15.3983
Telde,Gando,35219,27.9455,-15.3861
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35220,28.0129,-15.4179
Las Palmas de Gran Canaria,Hornos Del Rey,35220,28.0129,-15.4179
Las Palmas de Gran Canaria,Telde,35220,27.9924,-15.4192
Las Palmas de Gran Canaria,Lomo Blanco (Jinamar),35220,28.0333,-15.4167
Las Palmas de Gran Canaria,Parque Empresarial Jinamar,35220,28.0129,-15.4179
Las Palmas de Gran Canaria,La Matanza,35220,28.0129,-15.4179
Las Palmas de Gran Canaria,Cruz De La Gallina,35220,28.0129,-15.4179
Las Palmas de Gran Canaria,Valle De Jinamar,35220,28.0129,-15.4179
Las Palmas de Gran Canaria,Santa Margarita (Urbanizacion),35229,28.0378,-15.425
Las Palmas de Gran Canaria,Las Palmas De Gran Canaria,35229,28.0378,-15.425
Las Palmas de Gran Canaria,Marzagan,35229,28.0378,-15.425
Las Palmas de Gran Canaria,Mercalaspalmas,35229,28.0405,-15.4163
Las Palmas de Gran Canaria,Llanos De Cuatro Caminos,35229,28.0378,-15.425
,Aeropuerto De Gran Canaria,35230,27.9936,-15.5125
,Base Aerea De Gando,35230,27.9936,-15.5125
Ingenio,Carrizal, El (Ingenio),35240,27.9209,-15.4406
Ingenio,El Burrero,35240,27.9086,-15.3885
Ingenio,Ingenio (Capital Municipal),35250,27.9209,-15.4406
Ingenio,El Carrion,35250,27.9209,-15.4406
Ingenio,Las Mejias,35250,27.9209,-15.4406
Ingenio,Lomo Del Hospital,35250,27.9209,-15.4406
Ingenio,Sequero, El (Ingenio),35250,27.9209,-15.4406
Ingenio,Roque, El (Ingenio),35259,27.9209,-15.4406
Ingenio,Las Puntillas,35259,27.9219,-15.3962
Ingenio,Marfu,35259,27.9241,-15.408
Ingenio,Las Majoreras,35259,27.919,-15.401
Ingenio,Los Moriscos,35259,27.9391,-15.4082
Ingenio,La Pasadilla,35259,27.9209,-15.4406
Ingenio,Aguatona El Viejo,35259,27.9209,-15.4406
Ingenio,Mondragon,35259,27.9209,-15.4406
Ingenio,Aguatona El Nuevo,35259,27.9209,-15.4406
Agüimes,Barranco De Guayadeque,35260,27.9936,-15.5125
Agüimes,Cueva Bermeja,35260,27.9936,-15.5125
Agüimes,Aguimes (Capital Municipal),35260,27.9936,-15.5125
Agüimes,Llano Blanco,35269,27.9936,-15.5125
Agüimes,Palmillas, Las (Aguimes),35269,27.9936,-15.5125
Agüimes,Oasis,35269,27.9936,-15.5125
Agüimes,Montaña De Los Velez,35269,27.9936,-15.5125
Agüimes,El Eden,35269,27.9936,-15.5125
Agüimes,Las Rosas Viejas,35269,27.9936,-15.5125
